,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
462,hotton,BE,50.2667,5.45,48.92,89,96,9.17,overcast clouds
463,avanigadda,IN,16.0215,80.9181,84.07,46,96,4.18,overcast clouds
464,coahuayana,MX,18.7333,-103.6833,72.46,93,1,3.74,clear sky
465,grand forks,US,47.9417,-97.4337,3.78,89,88,12.08,overcast clouds
466,muravlenko,RU,63.7898,74.523,11.43,93,100,24.96,light snow
467,bari,IT,41.1177,16.8512,66.47,77,20,5.99,light intensity drizzle
468,bijie,CN,27.3125,105.2942,52.32,74,75,6.82,broken clouds
469,itupiranga,BR,-5.1347,-49.3267,77.32,93,90,2.15,overcast clouds
470,sayyan,YE,15.1718,44.3244,68.92,16,28,4.16,scattered clouds
471,santa cruz del sur,CU,20.7147,-77.9956,74.46,91,100,11.52,overcast clouds
472,grand-santi,GF,4.25,-54.3833,71.35,97,96,1.95,overcast clouds
473,lonavale,IN,18.75,73.4167,81.09,24,0,5.1,clear sky
474,tanggu,CN,39.0211,117.6469,51.76,79,100,11.95,overcast clouds
475,denpasar,ID,-8.65,115.2167,82.06,83,40,6.91,scattered clouds
476,cidreira,BR,-30.1811,-50.2056,68.52,73,16,10.36,few clouds
477,ipanema,BR,-30.1391,-51.2244,67.37,91,20,4.61,fog
478,lavrentiya,RU,65.5833,-171.0,30.52,90,32,11.65,scattered clouds
479,gravdal,NO,68.1214,13.5031,39.09,60,0,3.44,clear sky
480,mikkeli,FI,61.6886,27.2723,28.51,86,100,5.75,overcast clouds
481,ambunti,PG,-4.2365,142.8448,75.54,96,100,3.04,moderate rain
482,touros,BR,-5.1989,-35.4608,80.98,68,42,13.4,scattered clouds
483,ahipara,NZ,-35.1667,173.1667,58.93,89,71,10.6,broken clouds
484,chapleau,CA,47.8405,-83.4034,17.38,79,100,3.44,overcast clouds
485,rawah,IQ,34.4816,41.9093,69.22,42,0,3.65,clear sky
486,joshimath,IN,30.5667,79.5667,61.63,31,0,4.76,clear sky
487,rangkasbitung,ID,-6.3591,106.2494,84.38,89,100,7.18,overcast clouds
488,tofield,CA,53.3668,-112.6686,16.38,74,14,14.27,few clouds
489,waddan,LY,29.1614,16.139,77.22,16,5,9.86,clear sky
490,acapulco,MX,16.8634,-99.8901,76.01,86,39,4.61,light rain
491,whitehorse,CA,60.7161,-135.0538,11.17,92,100,6.91,light snow
492,westport,US,41.1415,-73.3579,36.75,72,6,8.01,clear sky
493,calvinia,ZA,-31.4707,19.776,72.39,17,42,14.16,scattered clouds
494,qaqortoq,GL,60.7167,-46.0333,14.2,90,97,6.38,overcast clouds
495,nuuk,GL,64.1835,-51.7216,20.88,67,93,13.0,overcast clouds
496,kuvshinovo,RU,57.0295,34.1725,22.33,84,100,9.08,overcast clouds
497,ypsonas,CY,34.6884,32.9574,74.25,60,20,4.61,few clouds
498,normandin,CA,48.8333,-72.5321,19.53,73,100,11.5,overcast clouds
499,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,16.39,57,0,6.71,clear sky
500,ginir,ET,7.1333,40.7,69.06,50,61,6.98,broken clouds
501,burns lake,CA,54.2331,-125.7533,14.43,95,86,1.99,overcast clouds
502,alofi,NU,-19.0595,-169.9187,69.69,94,40,1.14,scattered clouds
503,santander de quilichao,CO,3.0095,-76.4849,65.34,97,100,1.19,overcast clouds
504,muisne,EC,0.6,-80.0333,72.86,85,100,9.84,overcast clouds
505,kiruna,SE,67.8557,20.2251,5.92,78,47,5.75,scattered clouds
506,kattivakkam,IN,13.2167,80.3167,84.29,64,100,14.99,overcast clouds
507,angoram,PG,-4.0625,144.0661,76.15,95,73,3.0,broken clouds
508,chipinge,ZW,-20.1883,32.6236,85.68,27,0,9.95,clear sky
509,nabire,ID,-3.3667,135.4833,78.62,87,96,1.05,moderate rain
510,aljezur,PT,37.3191,-8.8033,62.04,62,19,18.63,few clouds
511,teeli,RU,51.0333,90.2333,8.46,96,97,1.57,overcast clouds
512,sudzha,RU,51.1976,35.2726,29.91,63,98,5.53,overcast clouds
513,kuala terengganu,MY,5.3302,103.1408,84.15,79,40,9.22,scattered clouds
514,moose factory,CA,51.2585,-80.6094,17.6,86,100,6.91,overcast clouds
515,peoria,US,40.7667,-89.7668,24.89,72,75,14.97,broken clouds
516,teo,ES,42.75,-8.5,50.67,94,75,3.44,fog
517,lishan,CN,31.8576,113.2951,58.55,73,100,4.81,overcast clouds
518,locri,IT,38.2414,16.2623,71.73,58,2,4.81,clear sky
519,yamada,JP,39.4667,141.95,44.87,80,66,7.27,broken clouds
520,labuan,MY,5.2767,115.2417,80.96,88,40,3.44,scattered clouds
521,popondetta,PG,-8.7537,148.2534,76.41,94,100,1.19,heavy intensity rain
522,poum,NC,-20.2333,164.0167,77.67,77,89,19.75,overcast clouds
523,la reforma,MX,25.0833,-108.05,63.93,64,9,4.92,clear sky
524,acajutla,SV,13.5928,-89.8275,76.93,70,6,7.23,clear sky
525,tateyama,JP,34.9833,139.8667,61.63,72,80,8.88,broken clouds
526,port-gentil,GA,-0.7193,8.7815,84.16,70,40,9.22,scattered clouds
527,aswan,EG,24.0934,32.907,76.3,35,0,10.36,clear sky
528,aasiaat,GL,68.7098,-52.8699,14.29,93,99,4.27,overcast clouds
529,saint-ambroise,CA,48.5501,-71.3324,24.62,86,100,10.36,light snow
530,nevel,RU,56.0209,29.9284,23.41,79,100,7.4,overcast clouds
531,danville,US,36.586,-79.395,31.77,71,0,4.0,clear sky
532,giyani,ZA,-23.3025,30.7187,96.49,27,5,8.52,clear sky
533,barcelos,PT,41.5388,-8.6151,53.85,79,24,5.68,light rain
534,andros town,BS,24.7,-77.7667,75.16,76,77,15.75,moderate rain
535,aktash,RU,50.3,87.7333,0.07,82,27,2.71,scattered clouds
536,arlit,NE,18.7369,7.3853,79.77,12,11,2.06,few clouds
537,ivanava,BY,52.1451,25.5365,29.16,87,100,6.93,light snow
538,ancud,CL,-41.8697,-73.8203,53.46,97,100,3.56,overcast clouds
539,souris,CA,49.6172,-100.2612,1.26,84,100,13.44,overcast clouds
540,divnoye,RU,45.9089,43.3547,61.57,58,100,21.68,overcast clouds
541,vikhorevka,RU,56.1201,101.1636,13.59,93,96,4.07,overcast clouds
542,mayya,RU,61.7333,130.2811,-11.69,100,96,1.21,overcast clouds
543,turbat,PK,26.0023,63.044,86.04,36,98,10.67,overcast clouds
544,moanda,GA,-1.5575,13.2178,79.03,78,100,2.1,overcast clouds
545,egvekinot,RU,66.3167,-179.1667,6.57,97,100,3.91,overcast clouds
546,camacha,PT,33.0833,-16.3333,63.82,63,40,16.11,scattered clouds
547,xiashi,CN,30.5363,120.6864,68.0,93,100,8.77,light rain
548,carballo,ES,43.213,-8.691,53.29,94,41,5.66,scattered clouds
549,kavaratti,IN,10.5669,72.642,83.1,57,49,8.63,scattered clouds
550,tessalit,ML,20.1986,1.0114,79.95,12,82,12.64,broken clouds
551,raudeberg,NO,61.9875,5.1352,47.07,37,3,5.75,clear sky
552,shadrinsk,RU,56.0852,63.6335,10.11,92,49,6.69,scattered clouds
553,adrar,MR,20.5022,-10.0711,75.24,13,0,7.67,clear sky
554,prince rupert,CA,54.3161,-130.3201,44.29,64,0,3.44,clear sky
555,rustenburg,ZA,-25.6676,27.2421,92.12,22,24,12.59,few clouds
556,matagami,CA,49.7502,-77.6328,8.71,85,100,4.61,overcast clouds
557,kerman,IR,30.2832,57.0788,58.86,55,100,11.5,light rain
558,erenhot,CN,43.6475,111.9767,44.44,38,99,16.96,overcast clouds
559,taybad,IR,34.74,60.7756,65.71,39,100,11.59,overcast clouds
560,huilong,CN,31.8111,121.655,62.92,83,100,13.31,overcast clouds
561,kamina,CD,-8.7386,24.9906,77.14,69,40,3.91,moderate rain
562,nongstoin,IN,25.5167,91.2667,63.41,66,6,3.69,clear sky
563,porgera,PG,-5.4667,143.2,46.42,99,100,0.36,overcast clouds
564,madarounfa,NE,13.3087,7.156,80.83,16,62,15.03,broken clouds
565,belmonte,BR,-15.8631,-38.8828,73.83,91,100,7.0,overcast clouds
566,bria,CF,6.5423,21.9863,90.72,25,80,4.65,broken clouds
567,donskoye,RU,45.4552,41.9741,60.93,61,100,22.19,overcast clouds
568,tabas,IR,33.5959,56.9244,67.15,48,78,2.91,broken clouds
569,college,US,64.8569,-147.8028,9.99,92,30,1.36,scattered clouds
570,isla vista,US,34.4133,-119.861,61.83,30,0,4.59,clear sky
571,berlevag,NO,70.8578,29.0864,35.6,80,0,20.71,clear sky
572,matara,LK,5.9485,80.5353,85.19,50,100,3.36,overcast clouds
573,naze,JP,28.3667,129.4833,70.72,86,98,19.6,overcast clouds
574,soyo,AO,-6.1349,12.3689,82.9,62,58,4.7,broken clouds
575,trzcianka,PL,53.0406,16.4563,33.01,63,11,13.06,few clouds
576,bushehr,IR,28.9684,50.8385,78.89,47,100,13.8,overcast clouds
577,okha,RU,53.5739,142.9478,21.76,89,100,6.49,overcast clouds
578,cabedelo,BR,-6.9811,-34.8339,75.87,72,50,10.74,scattered clouds
579,ouadda,CF,8.0777,22.4007,92.05,20,77,5.48,broken clouds
580,ola,RU,59.5833,151.2833,-10.86,88,4,7.7,clear sky
581,nenjiang,CN,49.1833,125.2167,29.7,60,52,4.83,broken clouds
582,shimanovsk,RU,52.0,127.7,11.48,97,70,1.34,broken clouds
583,paamiut,GL,61.994,-49.6678,21.29,63,100,1.74,overcast clouds
584,baloda,IN,22.15,82.4833,80.87,29,25,4.52,scattered clouds
585,gunnedah,AU,-30.9833,150.25,64.54,43,0,1.95,clear sky
586,husavik,IS,66.0449,-17.3389,43.84,84,100,17.22,overcast clouds
587,kasongo-lunda,CD,-6.4667,16.8167,72.55,91,98,2.71,light rain
588,lucapa,AO,-8.4192,20.7447,68.14,92,99,4.85,light rain
589,udachnyy,RU,66.4167,112.4,-17.55,75,87,7.9,overcast clouds
590,porto nacional,BR,-10.7081,-48.4172,77.0,79,2,1.79,clear sky
591,lac du bonnet,CA,50.2536,-96.0612,5.27,91,100,7.18,overcast clouds
592,beloha,MG,-25.1667,45.05,91.09,28,1,8.41,clear sky
593,impfondo,CG,1.6381,18.0667,84.06,62,87,4.81,light rain
594,henties bay,NA,-22.116,14.2845,64.63,72,96,9.33,overcast clouds
595,mahon,ES,39.8885,4.2658,63.16,77,40,6.91,scattered clouds
596,cueramaro,MX,20.6167,-101.7167,50.95,89,9,3.85,clear sky
597,parkes,AU,-33.1333,148.1833,60.93,62,62,2.1,broken clouds
598,batagay,RU,67.6333,134.6333,-17.1,97,100,2.59,overcast clouds
599,ndele,CF,8.4109,20.6473,95.34,18,61,5.41,broken clouds
600,bequimao,BR,-2.4489,-44.7825,78.35,77,31,4.65,scattered clouds
601,namtsy,RU,62.7161,129.6658,-9.96,100,100,2.19,overcast clouds
602,lalsk,RU,60.7415,47.5862,19.33,71,8,2.59,clear sky
603,bonavista,CA,48.6499,-53.1147,37.22,70,32,31.54,scattered clouds
604,coffs harbour,AU,-30.3,153.1333,66.16,68,100,8.05,overcast clouds
605,pella,RU,59.7775,30.8181,28.45,55,2,8.59,clear sky
606,kaduqli,SD,11.0167,29.7167,92.59,14,3,10.11,clear sky
607,laela,TZ,-8.5667,32.05,77.11,47,84,5.08,light rain
608,baykit,RU,61.67,96.37,-0.96,96,100,5.28,overcast clouds
609,torbay,CA,47.6666,-52.7314,39.58,78,75,31.07,broken clouds
610,siniscola,IT,40.5719,9.6922,67.55,56,47,15.66,scattered clouds
611,ahmadpur east,PK,29.1431,71.2598,83.44,13,42,3.09,scattered clouds
612,hagenow,DE,53.4333,11.1833,35.38,74,92,13.29,overcast clouds
613,moron,AR,-34.6534,-58.6198,73.96,66,78,7.34,broken clouds
614,kisangani,CD,0.5167,25.2,71.49,92,100,2.48,overcast clouds
615,karachi,PK,24.9056,67.0822,87.62,40,20,12.66,few clouds
616,hengshui,CN,37.7322,115.7011,56.59,50,100,4.41,light rain
617,quelimane,MZ,-17.8786,36.8883,91.35,55,40,11.5,scattered clouds
618,san luis,AR,-33.295,-66.3356,78.01,24,16,18.97,few clouds
619,nosy varika,MG,-20.5833,48.5333,81.63,70,51,15.03,broken clouds
620,itarema,BR,-2.9248,-39.9167,81.32,66,93,13.56,overcast clouds
621,freeport,US,40.6576,-73.5832,37.38,72,6,5.01,clear sky
622,tarakan,ID,3.3,117.6333,83.7,79,40,5.75,scattered clouds
623,fort nelson,CA,58.8053,-122.7002,-2.61,84,0,2.3,clear sky
624,champerico,GT,14.3,-91.9167,77.07,79,18,4.07,few clouds
625,sergeyevka,KZ,53.88,67.4158,11.08,84,44,2.95,scattered clouds
626,kilindoni,TZ,-7.9139,39.6668,80.53,74,78,9.1,light rain
627,dhidhdhoo,MV,6.8833,73.1,82.4,72,87,7.07,overcast clouds
628,katherine,AU,-14.4667,132.2667,86.32,54,100,19.57,overcast clouds
629,southbridge,US,42.0751,-72.0334,31.93,79,20,1.01,few clouds
630,sosnovo-ozerskoye,RU,52.5249,111.5418,17.17,62,100,11.7,overcast clouds
631,abu samrah,SY,35.3029,37.1841,66.81,46,2,7.45,clear sky
632,winnemucca,US,40.973,-117.7357,28.17,70,18,7.0,few clouds
633,den helder,NL,52.9599,4.7593,49.01,94,100,15.99,overcast clouds
634,stonewall,CA,50.1344,-97.3268,7.72,89,99,10.6,overcast clouds
635,witu,KE,-2.3889,40.4382,84.29,66,84,6.85,moderate rain
636,mahibadhoo,MV,3.7833,72.9667,81.39,77,100,15.97,overcast clouds
637,lillesand,NO,58.2488,8.3778,42.89,87,75,19.57,broken clouds
638,saveh,IR,35.0213,50.3566,67.19,21,0,17.16,clear sky
639,jiaozuo,CN,35.2397,113.2331,53.13,83,100,2.1,overcast clouds
640,tucuma,BR,-0.1833,-50.05,77.61,86,100,6.78,overcast clouds
641,hokitika,NZ,-42.7167,170.9667,58.89,92,100,3.33,overcast clouds
642,merauke,ID,-8.4667,140.3333,82.83,80,97,8.88,overcast clouds
643,safford,US,32.834,-109.7076,46.11,42,99,4.59,overcast clouds
644,anadyr,RU,64.75,177.4833,5.5,78,0,8.95,clear sky
645,mayo,US,38.8876,-76.5119,37.98,75,75,12.66,broken clouds
646,slave lake,CA,55.2834,-114.769,19.38,63,0,20.71,clear sky
647,ayagoz,KZ,47.9714,80.4392,22.05,78,48,5.95,scattered clouds
648,buchanan,LR,5.8808,-10.0467,82.44,71,84,0.72,broken clouds
649,kurtamysh,RU,54.9103,64.4319,13.89,79,82,7.07,broken clouds
650,mogok,MM,22.9167,96.5,66.31,58,0,1.97,clear sky
651,ntcheu,MW,-14.8203,34.6359,88.52,28,3,4.88,clear sky
652,taveta,KE,-3.3963,37.6736,86.18,42,62,9.15,light rain
653,port hawkesbury,CA,45.6169,-61.3485,33.96,78,0,11.5,clear sky
654,burnie,AU,-41.0667,145.9167,54.95,74,2,5.66,clear sky
655,hanzhong,CN,33.0728,107.0303,54.59,77,98,2.04,overcast clouds
656,myitkyina,MM,25.3833,97.4,73.36,55,0,1.07,clear sky
657,williams lake,CA,52.1415,-122.1445,17.17,92,100,3.44,mist
658,vallenar,CL,-28.5708,-70.7581,64.11,74,0,3.04,clear sky
659,tucurui,BR,-3.7661,-49.6725,75.22,92,96,4.12,overcast clouds
660,gorele,TR,41.0308,39.0031,66.65,53,95,5.64,overcast clouds
661,susehri,TR,40.1644,38.0867,45.77,88,100,4.12,overcast clouds
662,indiana,US,40.0003,-86.2503,30.96,69,100,10.36,overcast clouds
663,aklavik,CA,68.2191,-135.0107,11.64,82,58,6.02,broken clouds
664,raduzhnyy,RU,62.0961,77.475,8.55,71,100,19.42,overcast clouds
665,canmore,CA,51.0834,-115.3521,12.31,72,21,5.75,few clouds
666,sibolga,ID,1.7427,98.7792,78.69,87,100,3.47,heavy intensity rain
667,shangzhi,CN,45.2167,127.9667,24.76,90,6,4.23,clear sky
668,salgueiro,BR,-8.0742,-39.1192,79.81,54,52,11.99,broken clouds
669,gualaquiza,EC,-3.4,-78.55,59.13,88,100,1.48,overcast clouds
670,marivan,IR,35.5219,46.176,54.28,47,4,8.43,clear sky
671,ovruch,UA,51.3246,28.8035,30.16,59,100,6.2,overcast clouds
672,la ronge,CA,55.1001,-105.2842,19.65,58,75,16.11,broken clouds
673,luchegorsk,RU,46.4764,134.2569,25.92,94,64,5.57,broken clouds
674,majene,ID,-3.5403,118.9707,75.56,93,100,6.15,overcast clouds
675,zhigansk,RU,66.7697,123.3711,-21.86,95,83,8.72,broken clouds
676,sola,VU,-13.8833,167.55,82.76,72,22,8.68,few clouds
677,meadow lake,US,34.8014,-106.5436,29.3,69,29,10.07,scattered clouds
678,calbuco,CL,-41.768,-73.1273,58.21,94,100,4.83,light rain
679,huntsville,US,34.7304,-86.5861,28.96,82,0,0.0,clear sky
680,manaus,BR,-3.1019,-60.025,81.09,89,20,5.75,few clouds
681,presidencia roque saenz pena,AR,-26.7852,-60.4388,68.52,68,0,7.25,clear sky
682,verdun,FR,49.25,5.3333,50.16,92,86,11.65,overcast clouds
683,tomatlan,MX,19.9333,-105.25,68.29,83,3,3.31,clear sky
684,cervo,ES,43.6702,-7.4101,50.97,74,74,14.29,broken clouds
685,khani,GE,41.9563,42.9566,47.77,63,82,3.11,broken clouds
686,acari,PE,-15.4311,-74.6158,64.98,75,75,2.82,broken clouds
687,pacasmayo,PE,-7.4006,-79.5714,62.46,91,100,8.43,overcast clouds
688,dubbo,AU,-32.25,148.6167,62.73,55,1,4.61,clear sky
689,mecca,SA,21.4267,39.8261,88.12,36,2,6.38,clear sky
690,noumea,NC,-22.2763,166.4572,71.58,79,92,6.17,overcast clouds
691,mizan teferi,ET,6.9833,35.5833,76.14,54,6,3.24,light rain
692,betafo,MG,-19.8333,46.85,77.32,50,20,4.25,light rain
693,siderno,IT,38.2779,16.302,70.99,61,11,5.86,few clouds
